Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address
67720.82,5.14,6.81,5.23,54600.8,4407470.95,East Lucas
69495.29,6.17,8.05,3.27,47996.33,4275934.27,North Jasonville
35576.79,6.02,8.04,5.64,29534.06,3299290.32,Lake Kathleen
86532.05,4.9,6.96,4.55,23947.79,4228055.6,New Michelleville
66879.3,5.84,6.08,3.03,37858.37,3933273.3,Lake Kathleen
86996.92,5.04,5.6,4.24,41298.93,4304661.55,Port Adamtown
78713.51,5.36,6.92,2.74,23187.49,4006486.25,South Anthony
72992.0,6.47,7.06,5.66,29027.81,3998175.14,Lake Christinaport
90410.63,6.12,8.23,3.8,21337.42,4517198.23,Rebeccaville
61187.09,7.49,7.93,4.42,33678.77,4213375.64,New Deniseton
98185.81,5.53,7.74,5.86,47463.0,4977096.3,Lake Christinaport
69613.57,6.27,7.32,3.8,39651.65,4253054.34,South Anthony
48727.18,5.79,6.57,3.84,26842.53,3505448.59,New Deniseton
61015.59,5.41,6.94,3.19,33767.75,3671845.26,New Deniseton
69887.1,5.0,7.53,4.71,23118.63,3619130.3,New Deniseton
49062.62,7.19,6.38,5.34,41997.86,3754744.11,Lake Christinaport
67098.51,4.52,6.49,3.61,52929.93,4020317.78,New Michelleville
63633.59,8.06,7.47,5.44,49076.51,4527569.45,Lake Christinaport
60920.87,6.04,7.32,5.24,41766.68,4021795.27,New Deniseton
62607.83,3.76,8.14,4.02,31329.31,3800714.2,Lake Christinaport
60095.64,6.15,6.54,2.0,19925.47,3668020.81,South Anthony
70738.26,6.83,6.16,2.0,33731.52,4128692.05,Rebeccaville
71600.83,5.85,6.84,3.19,28449.84,3927772.64,Lake Kathleen
67123.72,9.38,6.58,4.55,38809.78,4615877.16,North Jasonville
69273.81,6.07,9.38,5.35,43527.83,4603351.69,Rebeccaville
71876.39,5.27,6.42,3.17,31361.02,3957982.29,Lake Christinaport
74655.74,4.39,8.48,4.06,33687.27,3940724.2,East Lucas
71012.07,5.33,7.28,3.73,35268.16,4124823.36,Lake Christinaport
88571.57,6.68,6.63,2.0,20142.99,4273177.41,South Anthony
86919.67,5.62,7.11,4.74,20809.49,4126639.24,Port Adamtown
57398.71,4.93,6.16,4.15,28307.5,3423263.15,Rebeccaville
57230.28,5.61,8.23,5.06,28661.75,4002456.0,Jenniferstad
57553.08,5.66,6.74,4.29,21550.29,3583630.32,East Lucas
76860.59,5.46,6.95,2.55,19415.54,4002868.6,New Deniseton
62183.76,8.49,8.16,4.06,31112.67,4511900.42,Lake Kathleen
81267.79,6.22,7.22,5.11,40712.41,4719722.64,South Anthony
58693.89,8.12,8.37,5.54,27666.22,4180390.41,Lake Kathleen
53231.4,4.29,8.04,2.86,17435.18,3202472.45,North Jasonville
50082.14,5.83,7.61,4.01,46716.83,3953051.07,Jenniferstad
50791.76,6.45,9.04,3.97,47055.84,4244185.42,Lake Christinaport
64126.2,6.14,7.12,5.79,26654.56,3928259.81,New Deniseton
90504.45,5.54,7.39,4.86,24185.44,4370197.61,New Michelleville
76284.44,5.07,5.72,4.48,44099.75,4167957.1,South Anthony
69944.45,6.38,6.38,3.84,50715.0,4358579.81,North Jasonville
60953.24,6.31,9.0,5.91,40183.97,4314835.97,Lake Christinaport
64985.2,7.53,8.17,3.62,45994.03,4510366.55,South Anthony
60196.95,6.87,5.35,5.56,32839.77,3824245.63,South Anthony
64277.64,5.91,7.69,2.55,35264.32,4016905.63,North Jasonville
70698.22,6.45,8.48,5.38,54994.0,4888456.66,Lake Christinaport
75467.89,5.72,9.5,3.32,42412.65,4532312.64,Lake Christinaport
64734.69,6.06,7.6,2.96,46286.59,4219567.23,Lake Kathleen
75527.39,8.47,7.36,4.03,46642.34,4938190.93,Rebeccaville
67786.06,4.83,7.68,4.9,39597.57,4043915.2,New Michelleville
64484.74,4.61,8.05,4.18,35268.33,3758375.51,Lake Christinaport
73246.38,7.55,6.71,2.44,36146.79,4424410.1,South Anthony
63157.98,5.63,7.72,5.69,21208.86,3539849.58,Jenniferstad
69471.64,5.27,7.18,4.02,42628.09,4038486.49,Rebeccaville
68368.18,6.69,6.74,3.11,16781.16,3885490.32,South Anthony
79764.2,5.37,7.22,4.64,40642.5,4386103.14,Port Adamtown
67734.11,5.01,6.02,3.41,40421.13,3863073.8,New Deniseton
72377.15,6.2,8.21,5.19,5630.87,3823629.73,North Jasonville
57659.75,7.47,5.65,2.72,42635.11,3879350.7,New Michelleville
66164.83,6.93,6.96,2.23,20261.64,3768898.93,Port Adamtown
82486.98,5.6,7.56,4.65,37566.93,4363081.24,Rebeccaville
83064.21,6.38,8.18,3.88,34496.68,4412042.63,Jenniferstad
75869.07,6.07,6.43,4.16,34785.16,4072924.83,East Lucas
62836.54,4.8,7.14,3.43,32012.52,3650556.14,Lake Kathleen
60007.91,5.3,6.27,4.68,53661.2,3692692.48,Port Adamtown
59799.69,6.75,7.5,2.0,49784.93,4227135.52,South Anthony
62684.63,7.57,7.53,5.16,48311.69,4402128.48,East Lucas
72512.55,7.34,6.56,3.79,41342.25,4336708.44,Lake Christinaport
60931.2,6.53,7.08,3.37,32765.04,3904963.88,East Lucas
57625.8,6.44,6.04,3.97,28683.96,3729983.68,North Jasonville
55954.72,5.02,6.51,2.0,993.29,3072614.05,Rebeccaville
60828.58,6.98,7.89,3.97,26143.84,4058308.09,Lake Christinaport
46437.56,6.29,6.58,2.0,30718.98,3628550.08,Lake Christinaport
52486.78,5.57,7.25,3.04,46443.93,3833299.26,Rebeccaville
58135.68,5.41,6.17,3.96,47520.04,3893767.83,Lake Kathleen
64928.44,5.33,8.03,3.79,22040.62,3773021.09,North Jasonville
85902.04,5.7,7.73,4.49,18990.09,4266810.9,Lake Christinaport
76915.91,6.77,6.95,4.39,44862.81,4539132.46,South Anthony
70875.62,7.4,7.52,6.14,19482.8,4179981.54,New Michelleville
51563.6,6.06,7.24,5.34,30446.05,3692860.61,Rebeccaville
63061.63,5.75,5.3,2.37,17696.47,3442566.8,Rebeccaville
75380.3,7.18,7.36,2.03,51781.78,4689097.3,South Anthony
82202.7,6.52,8.65,4.54,37230.89,4666863.34,Lake Christinaport
43719.1,4.5,5.31,2.29,14741.55,2672224.67,Lake Christinaport
83141.36,6.04,6.56,2.98,33201.12,4274774.67,North Jasonville
66708.42,8.32,7.81,4.28,52815.74,4746669.0,North Jasonville
78349.13,5.68,7.3,5.0,17344.35,3943146.73,East Lucas
62472.91,5.21,6.49,3.79,31620.27,3738398.65,East Lucas
67954.3,6.66,7.41,3.45,39290.92,4374867.44,Lake Kathleen
55700.32,6.66,5.89,3.49,37355.12,3974067.01,Port Adamtown
69535.12,4.0,6.84,5.24,15962.84,3523895.6,East Lucas
85084.92,5.29,7.4,4.79,35339.24,4476194.79,New Michelleville
82593.63,4.27,5.91,4.09,24094.9,3910532.35,East Lucas
77431.49,7.01,6.87,4.78,30824.78,4329143.46,Port Adamtown
59974.65,4.39,5.98,4.78,13191.46,3258969.69,Lake Kathleen
65989.84,5.35,7.03,4.23,44884.6,3974654.7,Lake Kathleen
62307.34,6.69,6.41,3.84,32851.02,4174771.45,New Deniseton
72259.85,5.81,6.27,4.49,31192.22,3906164.89,North Jasonville
79075.7,6.47,6.91,5.92,34914.24,4437078.97,Lake Kathleen
55965.92,5.96,7.92,4.88,29532.21,3907378.02,Rebeccaville
62859.54,5.76,7.15,4.67,33897.36,3864964.6,Port Adamtown
78502.81,4.86,8.05,6.79,41071.82,4201067.74,Lake Kathleen
80357.86,5.63,7.81,2.0,25802.8,4116275.42,Rebeccaville
55658.91,6.01,6.43,4.25,45903.46,3867572.22,Lake Christinaport
67740.25,6.8,6.78,4.16,28191.27,4148228.39,New Michelleville
81795.15,4.03,6.51,3.17,41037.48,4173374.5,New Michelleville
81722.09,7.34,8.06,2.0,24602.76,4493999.11,Lake Kathleen
64664.9,6.62,8.16,4.17,28992.46,4162716.43,South Anthony
80101.1,5.03,7.33,3.07,48959.48,4336560.23,Jenniferstad
72529.63,7.55,6.39,2.58,27137.71,4224604.04,New Michelleville
58352.02,5.9,5.53,5.42,20930.02,3329490.37,North Jasonville
86609.0,4.68,5.42,3.83,29676.94,3984732.81,North Jasonville
64202.67,4.87,8.8,2.0,13332.09,3640904.98,Lake Christinaport
67315.16,6.47,6.0,4.36,45279.8,4148899.29,South Anthony
51712.57,6.03,7.63,3.06,28594.99,3721760.48,Lake Christinaport
63276.89,6.06,6.55,2.26,27952.57,3684232.06,South Anthony
60953.23,4.87,6.95,3.23,42488.38,3919303.54,Lake Christinaport
49606.22,5.02,8.38,5.16,40223.72,3578591.24,New Michelleville
73219.07,5.57,7.58,2.5,42962.93,4255321.22,Lake Christinaport
60953.17,5.75,6.31,3.98,32657.5,3746824.35,Port Adamtown
78456.95,7.04,6.97,3.99,33889.75,4532211.93,New Michelleville
65387.3,6.22,7.08,4.06,43880.96,4072799.78,Rebeccaville
80629.76,6.52,8.9,5.26,43563.61,4588253.08,New Deniseton
69166.31,4.41,4.32,2.47,43946.11,3694237.93,Lake Christinaport
66568.75,6.05,6.06,4.55,25601.87,3779874.49,New Michelleville
66445.73,5.88,7.08,4.92,39015.61,4109666.36,Port Adamtown
59546.92,7.38,6.11,2.44,17399.96,3690410.28,South Anthony
63278.49,5.17,7.14,4.04,55402.96,4263226.63,New Deniseton
77361.81,6.12,6.29,4.18,21467.81,4013924.99,Jenniferstad
77260.03,6.04,6.26,3.9,18981.49,3798019.19,Rebeccaville
67176.34,7.01,6.22,6.15,61768.09,4587461.62,South Anthony
67633.69,7.69,8.41,3.13,43429.73,4770123.98,East Lucas
53991.36,6.11,7.49,3.11,24895.22,3717945.66,Lake Christinaport
63284.78,6.29,6.68,2.54,35568.37,3966908.47,Port Adamtown
62899.74,5.52,8.42,4.17,36043.34,4095789.9,Rebeccaville
54440.05,4.0,6.6,3.65,30188.43,3233166.4,Lake Christinaport
81306.78,5.38,3.86,3.32,19767.46,3648190.23,Lake Kathleen
66417.74,5.87,7.74,5.85,38172.13,4271606.56,North Jasonville
67259.22,6.48,8.17,3.46,44979.95,4380273.55,East Lucas
76866.14,3.9,6.2,3.46,41626.74,3872592.74,East Lucas
58766.71,5.79,6.97,2.0,21934.73,3608954.7,New Deniseton
75854.97,6.93,7.82,4.84,36207.32,4349673.98,New Michelleville
44442.8,5.96,6.91,4.97,40966.23,3645636.1,Jenniferstad
62433.13,5.38,7.95,5.42,41775.68,4111009.67,New Michelleville
47144.26,6.98,6.18,3.46,32154.63,3543738.15,South Anthony
81733.14,6.68,6.18,2.35,50741.66,4540487.54,Rebeccaville
76475.49,4.57,7.29,4.62,56710.4,4161546.83,Port Adamtown
61745.87,4.16,4.54,3.37,30470.95,3112350.75,East Lucas
68640.36,5.77,7.64,4.33,26235.01,3894318.43,Port Adamtown
59499.28,6.8,6.57,3.07,33099.14,3972976.31,New Deniseton
72977.01,5.19,6.53,4.37,41733.0,4011444.55,New Michelleville
76823.29,6.63,6.98,4.22,33019.18,4463852.05,Lake Christinaport
62072.13,6.47,6.7,3.94,47503.86,4222812.35,North Jasonville
72695.13,4.57,7.01,3.6,30213.11,3606146.03,East Lucas
59467.53,6.04,6.75,5.28,32905.73,3813711.45,Port Adamtown
65083.51,4.8,4.86,4.56,31579.09,3399637.64,East Lucas
70922.07,5.44,5.37,3.77,49940.34,4112881.93,East Lucas
76736.46,6.68,6.92,6.87,35739.5,4445734.74,Lake Christinaport
61557.46,8.84,8.04,4.72,30867.38,4332505.17,Lake Christinaport
67433.01,6.41,8.69,4.49,28015.34,4227627.73,East Lucas
73400.4,3.13,7.36,3.89,39131.38,3836732.04,Rebeccaville
76802.07,6.23,7.65,3.38,45447.81,4399828.37,East Lucas
83540.82,6.27,6.32,2.78,30715.71,4279342.62,Lake Christinaport
66840.7,6.16,6.93,5.11,25332.06,3949289.52,North Jasonville
89169.57,5.07,6.28,3.18,38715.28,4387436.01,North Jasonville
60124.28,6.43,5.64,3.15,24398.86,3682349.47,Lake Christinaport
77663.75,4.85,4.55,5.32,39641.08,4002298.13,Jenniferstad
85734.51,4.25,6.19,2.3,39126.99,3950281.9,Lake Kathleen
88466.99,5.27,6.95,3.65,27750.33,4211181.74,Rebeccaville
67493.41,5.84,6.17,4.19,31478.62,3748979.59,East Lucas
57425.0,5.79,7.6,2.45,26155.77,3906026.26,New Michelleville
52405.23,7.36,4.76,4.91,25418.24,3443457.83,Port Adamtown
64081.84,6.99,8.58,5.72,39266.78,4347768.17,Lake Kathleen
49076.15,5.32,8.88,2.0,31482.2,3614902.48,New Michelleville
60263.16,6.66,8.12,5.47,32768.16,4223961.6,North Jasonville
49258.14,5.28,6.38,4.88,50042.5,3691877.11,Rebeccaville
72217.14,7.26,7.78,3.8,38003.29,4473925.09,New Michelleville
80490.37,5.07,6.74,3.62,40255.92,4363503.3,Port Adamtown
66951.62,7.97,9.22,5.82,39510.23,4682708.54,New Michelleville
84193.09,6.95,6.82,5.02,43972.05,4645527.18,New Deniseton
65008.84,6.3,4.68,4.25,28111.2,3652425.28,Port Adamtown
75441.04,5.79,6.76,2.55,30974.58,4065909.14,North Jasonville
58463.68,5.77,5.62,5.15,35655.57,3661542.16,Lake Christinaport
71138.9,5.83,7.73,4.13,52274.81,4521928.15,Rebeccaville
77334.95,6.42,9.45,2.03,27528.27,4432822.46,New Michelleville
72424.59,5.52,6.96,3.73,43634.7,4207319.8,New Michelleville
79852.89,5.23,7.76,2.98,36121.45,4201094.7,South Anthony
70416.66,7.33,5.39,3.14,43884.46,4113946.47,Lake Kathleen
69681.81,5.88,7.81,4.95,46846.57,4035841.56,New Michelleville
70572.36,3.97,7.46,3.8,42694.36,4037446.35,New Deniseton
81679.3,4.38,6.26,5.03,26899.24,3935123.38,New Deniseton
72932.31,6.8,6.41,4.62,30523.63,4350115.05,Lake Christinaport
73731.07,5.63,7.53,2.95,21790.26,3834836.77,Jenniferstad
70953.61,6.38,5.7,5.1,40275.34,4074483.22,New Michelleville
81347.45,5.97,5.79,3.1,32893.29,4068214.7,Lake Kathleen
43643.41,6.88,7.09,4.87,36451.76,3628749.76,South Anthony
61994.49,6.03,7.32,3.69,40721.42,4057240.33,Lake Kathleen
69258.06,6.65,6.86,5.04,30075.38,4089349.66,Lake Kathleen
70162.66,4.47,7.93,5.29,44806.42,4011713.24,New Deniseton
52859.07,6.0,6.78,2.87,32863.93,3593626.72,New Michelleville
85332.46,5.27,6.54,4.05,46753.75,4347808.34,East Lucas
70647.34,4.46,6.45,6.92,24859.01,3848063.5,Lake Kathleen
62879.15,5.72,6.35,3.23,44979.3,4002638.11,East Lucas
83689.9,7.08,7.52,3.99,33356.21,4280120.63,North Jasonville
78901.39,6.89,4.8,3.83,43956.42,4282444.98,Rebeccaville
52862.6,6.59,6.25,3.54,38875.2,3827985.77,Rebeccaville
45229.31,5.16,6.85,3.07,44298.15,3588919.92,New Michelleville
59339.32,6.17,5.45,3.64,37338.37,3658536.03,New Michelleville
77940.33,4.96,5.98,4.48,34313.2,3783532.46,New Michelleville
77557.34,5.4,6.31,4.22,45578.51,4244367.75,New Michelleville
72341.04,7.96,4.97,2.0,39406.43,4372227.99,East Lucas
77547.57,4.84,7.85,3.26,46122.65,4316222.97,Port Adamtown
66584.25,6.23,6.07,5.19,31283.01,3831634.65,East Lucas
81512.27,4.08,9.21,4.99,33093.71,4213503.53,Jenniferstad
77859.78,4.83,7.25,3.72,41542.48,4126442.58,Jenniferstad
58909.63,5.48,5.26,4.39,41527.61,3647320.45,Rebeccaville
68016.74,5.6,7.09,2.9,31593.71,4013321.19,New Deniseton
69520.0,6.28,7.01,2.0,36997.31,4108037.95,New Michelleville
77825.54,5.0,5.62,3.25,23672.49,3751698.47,Rebeccaville
58505.05,6.42,6.02,3.1,34693.29,3874082.47,New Deniseton
67889.23,5.26,9.59,3.34,29015.9,4079276.65,Rebeccaville
74807.17,6.54,5.26,5.09,23821.95,3939794.43,North Jasonville
63416.86,4.16,8.14,4.0,48039.82,3940739.64,East Lucas
78621.6,5.55,7.24,4.28,52038.28,4491060.17,Lake Kathleen
76964.22,6.68,8.06,2.83,41880.56,4493376.32,Jenniferstad
62542.17,5.83,7.89,2.89,20494.03,4015336.12,New Deniseton
68387.01,4.61,6.58,4.42,36769.33,3751192.13,Port Adamtown
70852.8,7.32,8.76,4.85,24994.73,4215868.38,South Anthony
68378.55,5.41,8.33,2.39,28087.56,4024850.09,Lake Kathleen
57170.32,7.04,5.32,5.02,41152.27,3943490.37,Rebeccaville
60395.3,7.18,5.95,6.33,18701.47,3447309.53,Port Adamtown
87581.5,6.44,7.43,5.45,32677.57,4564068.34,Port Adamtown
64014.29,6.26,7.64,4.88,28531.25,3980588.83,North Jasonville
74383.13,5.47,6.78,3.16,20248.83,3732196.31,New Deniseton
63160.78,6.66,7.52,2.7,37352.41,4018361.07,Lake Kathleen
47727.82,4.55,7.04,3.66,39065.15,3708447.84,Port Adamtown
90681.26,4.93,8.47,3.75,28780.03,4492785.76,New Deniseton
59619.28,4.71,8.02,6.06,33280.22,3677816.87,Lake Kathleen
69553.46,5.24,6.39,4.28,49530.34,4035000.5,New Michelleville
59346.81,7.42,5.23,5.55,30738.75,3779486.82,New Deniseton
64035.8,4.51,7.31,4.42,47574.23,3933075.33,Jenniferstad
67424.01,4.5,6.7,2.49,51018.33,4029422.84,Lake Kathleen
63532.98,6.47,4.8,4.52,41441.38,3847681.39,North Jasonville
73517.55,6.06,7.0,4.09,32840.98,4235653.14,New Deniseton
86804.74,4.78,7.83,4.93,42964.51,4410222.38,South Anthony
64862.43,5.21,7.78,2.69,39581.42,4070020.42,South Anthony
81756.28,5.52,7.36,2.28,31899.64,4250648.96,New Michelleville
61727.78,6.4,7.28,3.6,13943.9,3711064.27,New Deniseton
72981.6,5.71,7.15,4.65,44173.57,4277824.09,Port Adamtown
62196.93,7.32,6.07,2.8,35539.59,4055368.3,East Lucas
68126.16,6.42,7.75,4.86,33622.29,4237214.2,Port Adamtown
67928.81,6.14,4.58,3.25,35775.69,3813690.23,East Lucas
82343.53,5.22,7.8,4.49,37594.28,4482386.4,Lake Kathleen
75959.13,4.4,6.1,3.06,32566.53,3863102.95,North Jasonville
73727.73,5.5,7.29,4.6,48343.6,4395529.43,South Anthony
65499.19,3.48,6.75,3.86,32377.36,3365952.51,Port Adamtown
78055.22,5.36,6.8,6.12,15465.31,3728469.43,North Jasonville
78304.43,7.58,8.25,4.4,26083.8,4569170.96,Lake Kathleen
70692.33,7.04,7.46,4.2,29302.3,4090514.09,North Jasonville
62761.4,6.48,6.71,4.6,30427.96,3862229.73,Lake Kathleen
71313.89,5.75,6.95,2.49,37191.09,4107598.97,Lake Christinaport
53761.88,7.01,6.15,5.41,21343.39,3581173.28,Lake Christinaport
80006.72,6.46,7.44,3.83,32198.91,4210005.73,South Anthony
47699.62,5.01,6.09,2.16,23514.27,3147438.91,Lake Kathleen
81310.7,6.81,8.32,2.0,30684.15,4547976.14,East Lucas
59015.81,6.06,7.91,3.3,24427.06,3837876.94,New Deniseton
61652.08,5.48,8.63,3.35,27992.07,4141885.29,New Deniseton
63833.69,5.8,5.71,5.46,33584.26,3880364.91,New Michelleville
75941.39,5.97,6.98,6.66,30267.14,4189231.58,South Anthony
63242.59,5.51,7.43,5.89,21359.64,3572991.61,Rebeccaville
78049.66,5.65,7.36,3.73,33312.8,4364897.87,Lake Kathleen
80421.85,5.39,7.25,2.0,39186.88,4207953.02,Lake Kathleen
79079.66,5.22,7.77,7.0,37734.27,4381858.22,East Lucas
58108.1,6.38,6.78,3.37,35495.39,3623682.17,Rebeccaville
82498.89,6.26,7.26,3.55,30289.51,4249508.24,New Michelleville
62593.36,6.53,6.85,4.79,29390.65,3820566.6,Port Adamtown
91624.12,3.95,5.14,3.78,40604.95,4060460.58,South Anthony
64046.3,5.43,8.07,3.33,49430.81,4264438.65,South Anthony
44781.95,8.09,7.97,2.0,40196.57,3969040.55,Lake Kathleen
79673.12,5.15,8.47,2.0,23911.73,4035873.36,Rebeccaville
66209.47,6.02,7.4,3.96,21970.91,3864477.55,Port Adamtown
56870.26,5.73,5.98,6.81,43976.91,3814643.65,South Anthony
57718.52,6.45,6.51,3.59,29359.51,3828976.58,Port Adamtown
86532.51,6.2,7.55,5.74,33535.5,4591027.13,Rebeccaville
66565.62,4.38,6.07,5.54,33102.98,3534118.1,New Deniseton
64701.53,6.6,7.22,2.56,31497.71,3992107.55,Jenniferstad
70589.43,7.39,7.77,4.22,31275.52,4616491.09,Jenniferstad
73727.99,5.3,8.38,2.72,46734.22,4340045.01,Rebeccaville
55970.59,6.32,7.55,2.36,43829.62,3913221.22,New Michelleville
71300.2,7.19,6.37,4.52,43605.61,4450966.82,New Michelleville
60588.06,7.39,5.59,5.45,30463.92,3917596.35,Port Adamtown
68366.74,7.04,5.98,2.52,37909.67,4236198.7,South Anthony
69615.55,5.53,6.38,2.86,37892.93,3909654.9,New Michelleville
103444.08,7.15,8.44,3.07,45698.5,5387079.49,New Michelleville
82166.71,5.54,5.38,4.82,23847.93,3864235.12,South Anthony
99587.93,5.66,7.42,2.32,33211.6,4696563.42,East Lucas
65611.72,5.89,6.85,3.48,35592.56,4086844.79,North Jasonville
79252.7,6.82,7.1,3.97,42860.8,4596669.58,North Jasonville
71239.16,5.85,8.05,2.62,45892.33,4392441.11,Port Adamtown
84998.77,5.37,7.94,4.13,48492.75,4625483.47,New Michelleville
46773.12,5.62,8.45,6.32,43879.3,3863608.3,Lake Kathleen
54096.93,5.14,6.96,3.13,42124.34,3770649.14,Lake Kathleen
50222.75,4.8,6.39,4.46,50411.56,3606834.52,Rebeccaville
78003.55,6.28,6.47,4.99,34054.16,3938934.47,North Jasonville
59691.86,6.15,7.21,2.95,31527.22,3806464.36,Lake Christinaport
72127.76,4.67,7.51,4.61,41963.68,3767344.45,East Lucas
72203.68,5.9,5.6,2.39,46573.35,4148642.92,South Anthony
65719.09,5.22,7.3,3.86,30537.06,4004650.36,North Jasonville
78538.39,4.69,7.39,2.99,36341.48,4122877.07,Jenniferstad
66338.17,5.59,8.43,5.75,41196.92,4272865.19,New Deniseton
79443.04,6.66,6.2,4.51,45562.11,4490822.9,Lake Kathleen
61633.94,6.14,8.41,5.83,27718.06,4009755.94,Lake Kathleen
73673.83,8.91,8.76,4.11,46502.35,5227425.89,North Jasonville
75649.85,5.61,6.74,2.71,33519.46,4009107.94,Lake Christinaport
51927.58,6.55,5.66,2.81,38789.89,3647621.32,New Michelleville
70198.27,6.38,6.91,3.78,49199.74,4260592.55,North Jasonville
65144.9,3.62,6.3,5.23,22236.96,3382953.48,East Lucas
60264.46,7.92,6.77,3.42,39594.12,4332839.17,New Michelleville
94939.02,7.09,8.68,3.37,51151.34,5243533.12,Jenniferstad
78115.71,4.73,5.45,6.93,35422.51,3920776.33,Rebeccaville
80577.42,4.7,7.5,5.03,45306.62,4495979.82,Jenniferstad
88486.21,5.51,4.87,4.19,20289.83,4092519.19,Lake Kathleen
76110.07,5.3,7.99,4.53,43295.5,4367535.1,New Deniseton
62727.71,6.11,6.24,4.42,54232.94,4144978.18,Lake Kathleen
84278.34,6.95,6.7,7.0,55675.72,4992031.27,Port Adamtown
58209.25,6.28,7.75,4.2,27941.97,3880126.42,Lake Christinaport
55637.82,5.5,7.93,6.01,34114.5,3846192.35,North Jasonville
72416.88,5.48,7.04,3.33,38023.27,4095227.01,North Jasonville
76010.13,5.67,6.23,6.71,50276.48,4485744.19,Lake Christinaport
61214.52,6.46,7.58,4.46,30217.25,3876185.73,North Jasonville
63966.05,5.29,6.2,5.96,40199.62,3855937.08,North Jasonville
60845.13,5.14,6.09,5.73,26742.57,3632288.36,New Michelleville
73573.69,5.55,7.21,3.33,30304.73,4175984.06,Jenniferstad
68380.93,6.93,7.12,4.71,33465.77,4179498.28,Rebeccaville
64090.48,5.2,8.25,4.0,43189.19,3937693.78,North Jasonville
67597.35,3.48,9.2,2.61,51505.56,4166765.46,East Lucas
79985.1,4.14,7.34,4.92,34520.3,4053374.34,Rebeccaville
67583.57,6.22,9.45,3.03,32502.8,4461810.32,Lake Kathleen
67068.88,5.54,7.94,6.31,34001.72,4171869.44,North Jasonville
65025.13,7.14,6.57,4.45,36258.88,4276743.52,Port Adamtown
85104.13,3.97,6.46,3.3,39470.63,4176951.77,New Deniseton
74487.93,6.43,5.75,2.0,51434.5,4219761.35,New Michelleville
81509.39,5.67,5.46,2.0,24933.87,3776382.19,East Lucas
71998.54,6.63,9.17,4.12,36082.43,4372751.29,Port Adamtown
52036.61,5.7,5.83,2.0,24141.08,3538336.82,Lake Kathleen
64269.17,7.54,7.61,2.41,37459.21,4400496.45,South Anthony
70435.99,5.91,7.05,6.3,34166.61,3929295.24,North Jasonville
81742.97,7.7,7.6,5.3,45271.27,4715503.2,New Michelleville
43140.92,7.04,5.84,3.2,36227.44,3730342.01,Lake Kathleen
75896.62,5.18,8.23,4.16,29881.27,4134566.94,New Deniseton
80900.32,6.0,6.64,2.99,34885.8,4380280.92,New Deniseton
57786.86,5.02,8.12,4.32,25404.86,3559628.2,Jenniferstad
52647.89,7.38,7.03,4.29,39563.22,4042373.21,East Lucas
101989.4,5.41,8.56,2.51,38448.47,5020655.06,Rebeccaville
68309.01,5.79,9.47,3.41,37894.16,4414030.22,New Michelleville
61023.95,7.41,6.45,4.74,38340.23,4092936.26,New Deniseton
70021.52,4.68,7.23,3.24,25722.91,3611377.66,North Jasonville
79158.01,3.87,8.34,2.15,42010.6,4242654.38,Lake Kathleen
60749.37,4.1,6.12,5.69,37469.11,3566306.45,East Lucas
83233.35,7.66,8.07,6.28,46625.89,4843591.92,New Michelleville
50949.7,7.18,6.25,4.2,35888.82,3803337.43,North Jasonville
67305.16,5.7,6.1,3.51,38114.65,4052612.0,Lake Kathleen
68967.46,4.14,5.95,4.46,32444.71,3393361.08,Rebeccaville
84351.23,7.02,7.74,2.91,42753.01,4930984.89,Rebeccaville
67119.13,4.94,8.26,3.05,38955.62,4012775.4,North Jasonville
67355.57,6.48,7.56,4.97,33347.93,4158194.8,Jenniferstad
65111.19,4.57,8.04,2.22,25610.92,3723995.48,New Michelleville
42711.44,7.66,7.06,4.34,46772.16,4032968.54,Port Adamtown
63126.68,6.15,8.04,3.8,23491.57,3971890.82,North Jasonville
92520.25,7.6,6.91,5.32,42075.98,4829793.0,North Jasonville
66906.73,5.81,6.29,4.2,24997.57,3635886.09,Lake Kathleen
76759.26,4.97,7.72,2.0,36045.15,4073837.8,New Deniseton
65157.62,6.65,6.6,5.72,40248.39,4288347.69,Jenniferstad
71204.64,6.48,8.05,4.83,26951.9,4161793.76,Rebeccaville
65679.9,7.26,6.73,4.38,48228.91,4315961.46,Rebeccaville
59834.13,5.21,7.23,2.0,38253.66,3788652.4,Jenniferstad
73163.25,6.32,6.05,2.33,50017.29,4192937.17,Lake Kathleen
60343.18,4.86,6.22,5.15,47093.92,3800769.48,East Lucas
79152.94,3.09,5.13,4.03,41998.98,3599515.82,Jenniferstad
75854.05,3.53,7.3,4.9,44554.98,4097675.68,New Deniseton
60189.88,7.54,6.88,5.05,31461.84,3983965.6,New Deniseton
60553.6,3.51,8.47,3.17,30928.98,3472277.74,Lake Christinaport
81706.34,6.15,6.71,4.74,34820.28,4378578.16,New Deniseton
80105.96,5.82,6.06,4.28,34846.43,4277012.18,North Jasonville
64601.87,5.69,4.74,5.17,39369.74,3707807.25,Port Adamtown
66702.25,6.21,5.43,3.35,41848.55,4017443.08,Jenniferstad
65325.36,6.08,6.33,2.43,50737.85,4149514.8,Lake Kathleen
83286.76,5.2,6.33,4.1,41304.96,4218801.27,Lake Christinaport
77267.38,6.17,6.75,4.81,47985.63,4368432.1,Lake Kathleen
